"terrain_ruggedness_index","sws_mean","o2_mean","si_mean","thetao_mean","Freq","resp.var"
10,0,320,0,0,233,"in"
80,0,190,10,10,233,"in"
10,0,250,10,10,225,"in"
60,0.1,300,0,6,233,"in"
10,0,260,10,10,183,"in"
10,0.1,280,10,6,229,"in"
40,0,260,10,4,233,"in"
140,0,210,10,8,233,"in"
60,0,300,10,2,233,"in"
50,0.1,300,10,4,232,"in"
80,0.4,90,20,8,234,"out"
1200,1.1,0,240,20,234,"out"
20,0.1,290,10,4,223,"in"
1020,0.7,300,170,4,234,"out"
30,0,220,10,8,230,"in"
360,0.6,340,30,8,234,"out"
20,0,220,10,8,232,"in"
650,0.3,110,280,12,234,"out"
200,0,200,10,12,233,"in"
50,0.8,20,190,-2,234,"out"
410,0.4,210,140,20,234,"out"
1220,0.2,290,40,2,234,"out"
140,0,200,10,10,233,"in"
10,0.1,290,10,4,218,"in"
0,0,260,10,10,208,"in"
10,0,250,10,10,225,"in"
70,0.2,260,10,8,232,"in"
210,0.1,70,30,12,234,"out"
30,0.1,280,10,6,228,"in"
100,0.2,290,10,4,233,"in"
50,0.1,270,10,8,227,"in"
180,0.5,60,200,10,234,"out"
60,0,180,10,12,233,"in"
80,0,200,10,12,233,"in"
1260,0.7,40,200,8,234,"out"
110,0.2,400,90,18,234,"out"
1110,0.1,310,120,20,234,"out"
10,0.7,40,180,4,234,"out"
30,0.1,300,0,6,233,"in"
0,0,320,10,2,233,"in"
30,0.8,110,80,-2,234,"out"
10,0,310,10,0,223,"in"
120,0,300,10,2,231,"in"
1100,0.1,110,100,4,234,"out"
20,0,220,10,8,232,"in"
160,0.1,310,10,2,228,"in"
120,1.1,270,40,14,234,"out"
460,1.2,90,290,4,234,"out"
70,0.1,300,0,6,231,"in"
720,0,180,80,12,234,"out"
660,0.3,190,200,0,234,"out"
120,0.9,340,110,-2,234,"out"
390,1.3,150,250,14,234,"out"
50,0,300,10,4,231,"in"
40,0,300,10,4,233,"in"
460,1.2,140,200,4,234,"out"
590,1.3,270,80,14,234,"out"
40,0.1,310,10,4,233,"in"
70,0.1,280,10,6,232,"in"
420,0.4,240,130,20,234,"out"
20,0,310,10,2,231,"in"
30,0,310,10,2,233,"in"
120,0,230,10,6,233,"in"
20,0,300,10,4,220,"in"
670,0.2,60,210,0,234,"out"
50,0,290,10,6,233,"in"
100,0,200,10,12,233,"in"
850,1.3,360,50,14,234,"out"
10,0,270,0,10,226,"in"
920,1.2,170,260,-2,234,"out"
30,0,190,10,10,232,"in"
30,0,270,0,10,233,"in"
100,0.2,290,10,4,233,"in"
810,0.7,50,70,14,234,"out"
60,0,220,10,8,232,"in"
390,0.8,70,220,20,234,"out"
20,0,250,0,14,232,"in"
1070,1.1,410,210,0,234,"out"
1190,1,80,40,6,234,"out"
950,0.5,290,100,18,234,"out"
10,0.1,280,10,4,227,"in"
60,0.2,300,10,4,232,"in"
30,0,310,10,4,230,"in"
180,0,270,10,4,232,"in"
50,0.1,260,10,8,230,"in"
390,1.3,150,230,10,234,"out"
100,0.3,290,10,0,233,"in"
10,0,200,10,14,233,"in"
